Kab. Merauke (baris 2834, provinsi: Papua)
Kab. Mimika (baris 2845, provinsi: Papua)
Kota Sorong (baris 2852, provinsi: Papua Barat)
Kota Sorong (baris 2854, provinsi: Papua Barat)
Kab. Raja Ampat (baris 2856, provinsi: Papua Barat)
Kab. Sorong (baris 2857, provinsi: Papua Barat)
Kota Sorong (baris 2861, provinsi: Papua Barat)
Kab. Sorong (baris 2871, provinsi: Papua Barat)
Kota Sorong (baris 2873, provinsi: Papua Barat)
Kota Sorong (baris 2874, provinsi: Papua Barat)
Kabupaten Raja Ampat (baris 2875, provinsi: Papua Barat)
Sorong (baris 2876, provinsi: Papua Barat)
Kota Sorong (baris 2878, provinsi: Papua Barat)
Sorong Selatan (baris 2879, provinsi: Papua Barat)
Kota Sorong (baris 2880, provinsi: Papua Barat)
Sorong Selatan (baris 2881, provinsi: Papua Barat)
Kota Sorong (baris 2882, provinsi: Papua Barat)
Kota Sorong (baris 2885, provinsi: Papua Barat)
KABUPATEN SORONG (baris 2886, provinsi: Papua Barat)
Kab. Raja Ampat (baris 2890, provinsi: Papua Barat)
Kab. Sorong (baris 2892, provinsi: Papua Barat)
Kabupaten Raja Ampat (baris 2894, provinsi: Papua Barat)
Kab. Sorong (baris 2898, provinsi: Papua Barat)
Kota Sorong (baris 2899, provinsi: Papua Barat)
Kab.Sorong (baris 2905, provinsi: Papua Barat)
Kota sorong (baris 2906, provinsi: Papua Barat)
Kab. Raja Ampat (baris 2907, provinsi: Papua Barat)
Kota Sorong (baris 2912, provinsi: Papua Barat)
Kab. Raja Ampat (baris 2917, provinsi: Papua Barat)
Kota Sorong (baris 2918, provinsi: Papua Barat)
Kota Sorong (baris 2919, provinsi: Papua Barat)
Sorong (baris 2927, provinsi: Papua Barat)
Kota Sorong (baris 2928, provinsi: Papua Barat)
Kab. Raja Ampat (baris 2932, provinsi: Papua Barat)
Kota Sorong (baris 2934, provinsi: Papua Barat)
Kab. Sorong (baris 2938, provinsi: Papua Barat)
Kota Sorong (baris 2941, provinsi: Papua Barat)
Kab. Sorong (baris 2942, provinsi: Papua Barat)
Kab. Raja Ampat (baris 2961, provinsi: Papua Barat)
Kota Sorong (baris 2962, provinsi: Papua Barat)
Kab. Sorong (baris 2973, provinsi: Papua Barat)
Kab. Sorong (baris 2975, provinsi: Papua Barat)
Kab. Sorong (baris 2977, provinsi: Papua Barat)
Kota Sorong (baris 2980, provinsi: Papua Barat)
Kab. Sorong (baris 2989, provinsi: Papua Barat)
Kab. Raja Ampat (baris 2992, provinsi: Papua Barat)
Kota Sorong (baris 2994, provinsi: Papua Barat)
Kota Sorong (baris 2996, provinsi: Papua Barat)
Kota Sorong (baris 3003, provinsi: Papua Barat)
Kab. Raja Ampat (baris 3004, provinsi: Papua Barat)
Kab. Sorong Selatan (baris 3006, provinsi: Papua Barat)
Sorong (baris 3010, provinsi: Papua Barat)
Kab. Sorong (baris 3016, provinsi: Papua Barat)
Kab. Sorong Selatan (baris 3018, provinsi: Papua Barat)
Kab. Tambrauw (baris 3023, provinsi: Papua Barat)
Kota Sorong (baris 3024, provinsi: Papua Barat)
Kab. Raja Ampat (baris 3025, provinsi: Papua Barat)
Kab. Raja Ampat (baris 3027, provinsi: Papua Barat)
Kota Sorong (baris 3028, provinsi: Papua Barat)
Kabupaten Sorong (baris 3030, provinsi: Papua Barat)
Kab. Sorong (baris 3031, provinsi: Papua Barat)
Kab. Sorong Selatan (baris 3036, provinsi: Papua Barat)
Kota Sorong (baris 3037, provinsi: Papua Barat)
Kota Sorong (baris 3044, provinsi: Papua Barat)
Kab. Tambrauw (baris 3045, provinsi: Papua Barat)
Raja Ampat (baris 3046, provinsi: Papua Barat)
Kab. Maybrat (baris 3047, provinsi: Papua Barat)
Kota Sorong (baris 3051, provinsi: Papua Barat)
Kab. Sorong (baris 3055, provinsi: Papua Barat)
Kota Sorong (baris 3056, provinsi: Papua Barat)
Kab. Sorong Selatan (baris 3059, provinsi: Papua Barat)
Kota Sorong (baris 3061, provinsi: Papua Barat)
Kab. Sorong Selatan (baris 3062, provinsi: Papua Barat)
Kab. Mamuju Utara (baris 3232, provinsi: Sulawesi Barat)
Kab. Mamuju Utara (baris 3269, provinsi: Sulawesi Barat)
Tana Toraja (baris 3347, provinsi: )
Kabuipaten Sigi (baris 3637, provinsi: Sulawesi Tengah)
Kab. Kepulauan Talaud/Melonguane (baris 3678, provinsi: Sulawesi Utara)
Kab. Kepl. Sitaro (baris 3679, provinsi: Sulawesi Utara)
Kab. Kepulauan Talaud/Melonguane (baris 3696, provinsi: Sulawesi Utara)
Kab. Kepulauan Siau Tagulandang Biaro (Sitaro) (baris 3701, provinsi: Sulawesi Utara)
Talaud (baris 3704, provinsi: Sulawesi Utara)
Kab. Kepulauan Siau Tagulandang Biaro (Sitaro) (baris 3709, provinsi: Sulawesi Utara)
Amurang (baris 3720, provinsi: Sulawesi Utara)
Kab. Kepulauan Siau Tagulandang Biaro (Sitaro) (baris 3766, provinsi: Sulawesi Utara)
Kab. Kepulauan Siau Tagulandang Biaro (Sitaro) (baris 3770, provinsi: Sulawesi Utara)
MINSEL (baris 3807, provinsi: Sulawesi Utara)
MINSEL (baris 3839, provinsi: Sulawesi Utara)
Kab. Kepulauan Siau Tagulandang Biaro (Sitaro) (baris 3878, provinsi: Sulawesi Utara)
Kabuapten Kepulauan  Talaud (baris 3918, provinsi: Sulawesi Utara)
Kab. Toba Samosir (baris 4043, provinsi: Sumatera Utara)
Kab. Toba Samosir (baris 4073, provinsi: Sumatera Utara)
Kab. Toba Samosir (baris 4099, provinsi: Sumatera Utara)
Kab. Toba Samosir (baris 4103, provinsi: Sumatera Utara)
